GMRT-TAU_J042221.51+261206.5	04:22:21.513	+26:12:06.46	28.08	1.49	28.08	1.65	2848	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042229.98+261737.2	04:22:29.979	+26:17:37.21	19.93	1.14	61.95	3.32	257	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042230.38+261802.6	04:22:30.384	+26:18:02.63	9.10	0.75	24.45	1.46	257	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042232.63+255754.2	04:22:32.634	+25:57:54.23	21.95	1.20	53.35	2.86	303	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042242.02+260306.0	04:22:42.016	+26:03:05.99	3.46	0.38	5.20	0.59	99	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042244.44+254047.0	04:22:44.442	+25:40:47.00	177.93	8.99	444.23	22.38	845	M	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042244.82+255616.6	04:22:44.817	+25:56:16.64	3.06	0.41	7.19	0.64	154	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042244.93+254121.8	04:22:44.927	+25:41:21.85	7.26	1.23	39.35	2.40	845	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042246.61+253942.8	04:22:46.612	+25:39:42.83	6.76	1.03	51.78	2.81	523	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042259.14+260254.0	04:22:59.142	+26:02:54.01	2.81	0.33	4.79	0.52	123	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042300.22+255706.3	04:23:00.216	+25:57:06.33	4.15	0.39	5.36	0.61	53	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042300.33+262805.7	04:23:00.326	+26:28:05.73	3.19	0.34	4.07	0.52	99	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042302.95+260149.4	04:23:02.946	+26:01:49.38	2.44	0.31	3.67	0.48	47	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042303.94+262002.2	04:23:03.938	+26:20:02.22	3.59	0.37	6.28	0.58	106	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042304.97+253326.6	04:23:04.971	+25:33:26.56	124.78	6.32	191.86	9.82	1240	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042305.48+253400.3	04:23:05.476	+25:34:00.30	3.83	0.61	50.03	2.58	383	S	-	-	-	-	-	-	-	-	-	-	-	-
