GMRT-TAU_J042711.00+181944.0	04:27:11.003	+18:19:44.04	4.91	0.69	7.04	1.07	64	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042717.59+180043.5	04:27:17.590	+18:00:43.47	5.23	0.86	58.56	3.06	556	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042720.17+180914.6	04:27:20.168	+18:09:14.61	11.61	1.11	19.12	1.72	211	S	-	-	-	-	-	-	-	-	L	-1.41	0.30	N 
GMRT-TAU_J042727.26+180435.4	04:27:27.264	+18:04:35.36	66.33	3.47	89.54	4.77	633	S	-	-	-	-	-	-	-	-	L	-0.95	0.12	N 
GMRT-TAU_J042734.11+174432.0	04:27:34.107	+17:44:32.05	11.11	1.39	14.33	2.23	87	S	-	-	-	-	-	-	-	-	L	-0.68	0.29	N 
GMRT-TAU_J042739.62+183308.8	04:27:39.617	+18:33:08.75	313.83	16.13	440.70	22.81	4375	S	-	-	-	-	-	-	-	-	L	-1.10	0.10	N 
GMRT-TAU_J042744.70+182921.0	04:27:44.701	+18:29:21.02	156.77	7.91	321.66	16.26	996	M	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042753.37+175130.3	04:27:53.371	+17:51:30.32	23.16	4.96	38.49	7.42	303	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042754.63+181813.6	04:27:54.626	+18:18:13.57	9.71	0.71	23.69	1.38	626	S	-	-	-	-	-	-	-	-	L	-1.16	0.21	N 
GMRT-TAU_J042757.03+175243.2	04:27:57.033	+17:52:43.18	1456.52	73.21	4011.13	202.65	5682	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042758.90+181920.3	04:27:58.897	+18:19:20.33	7.46	0.61	36.08	1.90	427	S	-	-	-	-	-	-	-	-	L	-1.07	0.14	N 
GMRT-TAU_J042800.81+174603.3	04:28:00.811	+17:46:03.32	12.72	1.76	18.22	2.72	132	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042801.35+180532.7	04:28:01.348	+18:05:32.72	3.97	0.63	30.20	1.65	502	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042803.19+174820.7	04:28:03.190	+17:48:20.69	9.27	1.70	20.56	2.48	156	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042803.33+181854.0	04:28:03.327	+18:18:54.03	4.90	0.56	5.85	0.89	54	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042803.59+174838.3	04:28:03.588	+17:48:38.32	4.92	1.58	14.62	2.16	156	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042812.19+182059.3	04:28:12.189	+18:20:59.28	39.98	2.05	51.84	2.69	480	S	-	-	-	-	-	-	-	-	L	-0.71	0.11	N 
GMRT-TAU_J042818.79+183822.8	04:28:18.791	+18:38:22.75	2.74	0.49	24.78	1.35	343	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042819.37+183752.0	04:28:19.374	+18:37:52.01	49.93	2.57	134.31	6.93	343	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042820.97+182708.2	04:28:20.968	+18:27:08.23	27.00	1.49	55.66	2.92	320	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042821.12+183849.3	04:28:21.116	+18:38:49.33	19.03	1.10	28.35	1.65	208	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042821.32+173107.6	04:28:21.323	+17:31:07.56	4.67	0.86	13.51	1.27	123	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042821.53+182642.3	04:28:21.525	+18:26:42.35	73.78	3.74	122.45	6.26	320	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042824.56+175812.8	04:28:24.561	+17:58:12.80	8.45	0.77	12.35	1.17	151	S	-	-	-	-	-	-	-	-	L	-1.12	0.31	N  2M
GMRT-TAU_J042834.72+184025.5	04:28:34.724	+18:40:25.50	5.74	0.48	8.76	0.74	372	S	-	-	-	-	-	-	-	-	L	-0.65	0.23	N 
GMRT-TAU_J042835.68+173223.4	04:28:35.676	+17:32:23.42	58.54	3.02	78.58	4.11	626	S	-	-	-	-	-	-	-	-	L	0.56	0.10	N  2M
GMRT-TAU_J042837.21+182118.2	04:28:37.211	+18:21:18.16	1.41	0.41	2.74	0.61	125	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042837.99+185130.8	04:28:37.989	+18:51:30.77	5.49	0.70	8.25	1.07	110	S	-	-	-	-	-	-	-	-	L	-0.90	0.35	N 
GMRT-TAU_J042838.13+182101.7	04:28:38.131	+18:21:01.70	27.42	1.44	33.80	1.82	125	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042838.97+182109.8	04:28:38.970	+18:21:09.80	8.21	0.59	11.70	0.88	125	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042839.16+181413.9	04:28:39.156	+18:14:13.93	6.94	0.49	8.27	0.70	86	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042840.39+184402.7	04:28:40.386	+18:44:02.69	2.80	0.45	5.41	0.67	228	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042841.13+174337.5	04:28:41.130	+17:43:37.54	26.58	1.48	40.50	2.26	229	S	-	-	-	-	-	-	-	-	L	-0.68	0.11	N 
GMRT-TAU_J042843.31+175614.7	04:28:43.309	+17:56:14.72	5.95	0.60	9.32	0.91	295	S	-	-	-	-	-	-	-	-	-	-	-	-
