,Cat_ID,DC_Maj,DC_Maj_img_plane,DC_Min,DC_Min_img_plane,DC_PA,DC_PA_img_plane,DEC,DEC_max,E_DC_Maj,E_DC_Maj_img_plane,E_DC_Min,E_DC_Min_img_plane,E_DC_PA,E_DC_PA_img_plane,E_DEC,E_DEC_max,E_Isl_Total_flux,E_Maj,E_Maj_img_plane,E_Min,E_Min_img_plane,E_PA,E_PA_img_plane,E_Peak_flux,E_RA,E_RA_max,E_SI,E_Total_flux,Freq,GBS,GBS_Flux,GBS_Name,Isl_Total_flux,Isl_id,Isl_mean,Isl_rms,Maj,Maj_img_plane,Match,Min,Min_img_plane,NVSS,NVSS_DEC,NVSS_DEC_offset,NVSS_E_SI,NVSS_E_flux,NVSS_RA,NVSS_RA_offset,NVSS_SI,NVSS_SI_FP,NVSS_flux,PA,PA_img_plane,Peak_flux,RA,RA_max,Resid_Isl_mean,Resid_Isl_rms,Resolved,SI,S_Code,Total_flux,nearest_df2_index,S_Ra_Dec,Name,GBS_C,GBS_C_Other,GBS_C_Type,GBS_C_Name,XMM,2MASS,SPITZER,MLC
0,0,41770.079999999994,0.0,33125.759999999995,0.0,0.0,0.0,26.201795,26.201795,816.48,6.3e-05,505.44,3.9e-05,2.8423540000000003,2.8423540000000003,1.7e-05,1.7e-05,0.000587,0.2268,6.3e-05,0.1404,3.9e-05,2.8423540000000003,2.8423540000000003,1.4854093711835805,2.6000000000000002e-05,2.6000000000000002e-05,-999.0,1.640219497506355,322665000.0,False,0.0,,0.016776,581,1.1e-05,0.00049,11.602799999999998,0.003222,False,9.2016,0.0025559999999999997,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,79.081233,79.6,28.080000000000002,65.589638,65.589638,0.001077,0.002848,True,-999.0,S,28.080000000000002,201.0,04:22:21.513	+26:12:06.46,J042221.51+261206.5,False,,,,False,False,False,0
1,1,66795.84,0.004378,53084.159999999996,0.002694,13.340138,13.844975,26.293670000000002,26.292645,2462.3999999999996,0.00018999999999999998,1723.68,0.000133,7.132581,7.132581,6.1e-05,6.1e-05,0.001674,0.6839999999999999,0.00018999999999999998,0.4788,0.000133,7.132581,7.132581,1.1394835189681332,7.8e-05,7.8e-05,-999.0,3.3141541941346064,322665000.0,False,0.0,,0.088573,580,0.000168,0.000553,18.554399999999998,0.005154,False,14.7456,0.004096,True,26.29488888888889,-0.0012188888888893246,0.11173656699906107,1.1,65.624875,3.5999999994373866e-05,-0.6633514669513904,L,23.4,21.906798000000002,22.411635,19.926,65.624911,65.625176,0.000174,0.00025699999999999996,True,-999.0,M,61.947,199.0,04:22:29.979	+26:17:37.21,J042229.98+261737.2,False,,,,False,False,False,0
2,2,64385.280000000006,0.0039299999999999995,57697.920000000006,0.003483,31.580584,32.084799,26.300729999999998,26.300729999999998,4315.68,0.000333,3641.76,0.000281,25.501012,25.501012,0.000126,0.000126,0.001674,1.1988,0.000333,1.0116,0.000281,25.501012,25.501012,0.7468042330490635,0.000136,0.000136,-999.0,1.451798024003339,322665000.0,False,0.0,,0.088573,580,0.000168,0.000553,17.884800000000002,0.004967,False,16.0272,0.004452,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,57.696380000000005,58.20059499999999,9.105,65.626598,65.626598,0.000174,0.00025699999999999996,True,-999.0,C,24.451,199.0,04:22:30.384	+26:18:02.63,J042230.38+261802.6,False,,,,False,False,False,0
3,3,70398.72,0.004517,41873.76,0.00162,40.994158,41.488282,25.965065,25.965132999999998,2112.4799999999996,0.00016299999999999998,894.2399999999999,6.9e-05,2.686194,2.686194,5.4000000000000005e-05,5.4000000000000005e-05,0.001191,0.5867999999999999,0.00016299999999999998,0.24839999999999998,6.9e-05,2.686194,2.686194,1.1996214079867031,5.2000000000000004e-05,5.2000000000000004e-05,-999.0,2.8538478520236503,322665000.0,False,0.0,,0.051238,579,4.2e-05,0.000484,19.5552,0.005432,False,11.6316,0.0032310000000000004,True,25.965333333333334,-0.0002683333333344251,0.10188390777292344,0.6,65.63616666666665,-0.0001936666666608744,-0.8078527785710651,L,16.3,46.650686,47.14481,21.953,65.63597299999999,65.63674,3.6e-05,0.000303,True,-999.0,M,53.345000000000006,201.0,04:22:32.634	+25:57:54.23,J042232.63+255754.2,False,,,,False,False,False,0
4,4,60756.48000000001,0.003457,34253.28,0.000305,99.487817,99.966307,26.051664000000002,26.051664000000002,7387.2,0.00057,2630.8799999999997,0.00020299999999999997,8.636351,8.636351,8.8e-05,8.8e-05,0.00040199999999999996,2.052,0.00057,0.7307999999999999,0.00020299999999999997,8.636351,8.636351,0.3760529749915562,0.000241,0.000241,-999.0,0.5858318892822412,322665000.0,False,0.0,,0.005186,578,0.000149,0.00033,16.876800000000003,0.004686999999999999,False,9.5148,0.002643,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,94.66135799999999,95.139848,3.4560000000000004,65.675065,65.675065,0.000152,9.9e-05,True,-999.0,S,5.199000000000001,201.0,04:22:42.016	+26:03:05.99,J042242.02+260306.0,False,,,,False,False,False,0
5,5,53395.200000000004,0.003106,45515.520000000004,0.001656,8.955386,9.423145,25.679722,25.678894,479.5199999999999,3.7e-05,362.88000000000005,2.8000000000000003e-05,2.376399,2.376399,1.3000000000000001e-05,1.3000000000000001e-05,0.003607,0.13319999999999999,3.7e-05,0.10080000000000001,2.8000000000000003e-05,2.376399,2.376399,8.988866945282926,1.4999999999999999e-05,1.4999999999999999e-05,-999.0,22.379130641068254,322665000.0,False,0.0,,0.37641399999999997,577,-0.000236,0.001286,14.832,0.00412,False,12.6432,0.003511,True,25.679555555555556,0.0001664444444458013,0.09233785729083627,4.4,65.68391666666666,0.0012563333333304172,-0.7647596652623703,L,144.6,24.927897,25.395656,177.928,65.68517299999999,65.684834,-0.000213,0.0008449999999999999,True,-999.0,M,444.23,201.0,04:22:44.442	+25:40:47.00,J042244.44+254047.0,False,,,,False,True,False,0
6,6,67158.72,0.004144,48431.52,0.002593,108.52914399999999,109.000588,25.937955,25.937955,9175.68,0.000708,5443.2,0.00042,18.508031,18.508031,0.000185,0.000185,0.00047999999999999996,2.5488,0.000708,1.512,0.00042,18.508031,18.508031,0.4086987918993644,0.000297,0.000297,-999.0,0.6306124978939127,322665000.0,False,0.0,,0.006412999999999999,576,7.2e-05,0.000356,18.6552,0.005181,False,13.453199999999999,0.003737,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,101.115162,101.586605,3.059,65.686738,65.686738,7.8e-05,0.000154,True,-999.0,S,7.1930000000000005,201.0,04:22:44.817	+25:56:16.64,J042244.82+255616.6,False,,,,False,False,False,0
7,7,116121.6,0.008582,64605.59999999999,0.003814,177.67189399999998,178.138941,25.689401999999998,25.689401999999998,20580.48,0.001588,9486.720000000001,0.000732,16.759355,16.759355,0.000674,0.000674,0.003607,5.7168,0.001588,2.6352,0.000732,16.759355,16.759355,1.2259286775746787,0.00031099999999999997,0.00031099999999999997,-999.0,2.3992461321215046,322665000.0,False,0.0,,0.37641399999999997,577,-0.000236,0.001286,32.256,0.008959,False,17.945999999999998,0.004984000000000001,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,178.256489,178.72353600000002,7.257,65.68719399999999,65.68719399999999,-0.000213,0.0008449999999999999,True,-999.0,C,39.351,201.0,04:22:44.927	+25:41:21.85,J042244.93+254121.8,False,,,,False,False,False,0
8,8,121616.64000000001,0.008954,87065.28000000001,0.006007,24.184511999999998,24.648054000000002,25.661896,25.661896,18182.879999999997,0.001403,12039.84,0.0009289999999999999,22.504964,22.504964,0.00056,0.00056,0.0020629999999999997,5.0508,0.001403,3.3444,0.0009289999999999999,22.504964,22.504964,1.0291565672918772,0.00044400000000000006,0.00044400000000000006,-999.0,2.809688495189458,322665000.0,False,0.0,,0.027287,575,-0.000197,0.001153,33.7824,0.009384,False,24.184800000000003,0.006717,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,26.603358,27.0669,6.764,65.694215,65.694215,-0.00018899999999999999,0.000523,True,-999.0,S,51.775999999999996,201.0,04:22:46.612	+25:39:42.83,J042246.61+253942.8,False,,,,False,False,False,0
9,9,68597.28,0.004211,34447.68,0.000653,89.643398,90.0905,26.048336,26.048336,9331.2,0.00072,2799.36,0.00021600000000000002,8.365635000000001,8.365635000000001,9.2e-05,9.2e-05,0.000323,2.592,0.00072,0.7776000000000001,0.00021600000000000002,8.365635000000001,8.365635000000001,0.3266850509282603,0.000306,0.000306,-999.0,0.510741705757421,322665000.0,False,0.0,,0.003965,574,4.6e-05,0.000296,19.0548,0.005292,False,9.5688,0.0026579999999999998,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,87.75563000000001,88.202732,2.807,65.746423,65.746423,4.2e-05,0.000123,True,-999.0,S,4.794,201.0,04:22:59.142	+26:02:54.01,J042259.14+260254.0,False,,,,False,False,False,0
