,Cat_ID,DC_Maj,DC_Maj_img_plane,DC_Min,DC_Min_img_plane,DC_PA,DC_PA_img_plane,DEC,DEC_max,E_DC_Maj,E_DC_Maj_img_plane,E_DC_Min,E_DC_Min_img_plane,E_DC_PA,E_DC_PA_img_plane,E_DEC,E_DEC_max,E_Isl_Total_flux,E_Maj,E_Maj_img_plane,E_Min,E_Min_img_plane,E_PA,E_PA_img_plane,E_Peak_flux,E_RA,E_RA_max,E_SI,E_Total_flux,Freq,GBS,GBS_Flux,GBS_Name,Isl_Total_flux,Isl_id,Isl_mean,Isl_rms,Maj,Maj_img_plane,Match,Min,Min_img_plane,NVSS,NVSS_DEC,NVSS_DEC_offset,NVSS_E_SI,NVSS_E_flux,NVSS_RA,NVSS_RA_offset,NVSS_SI,NVSS_SI_FP,NVSS_flux,PA,PA_img_plane,Peak_flux,RA,RA_max,Resid_Isl_mean,Resid_Isl_rms,Resolved,SI,S_Code,Total_flux,nearest_df2_index,S_Ra_Dec,Name,GBS_C,GBS_C_Other,GBS_C_Type,GBS_C_Name,XMM,2MASS,MLC
0,0,38880.0,0.0,34201.439999999995,0.0,0.0,0.0,19.615714999999998,19.615714999999998,2436.48,0.000188,1892.1599999999999,0.000146,19.383882999999997,19.383882999999997,6.2e-05,6.2e-05,0.000557,0.6768,0.000188,0.5256,0.000146,19.383882999999997,19.383882999999997,0.9568662602474811,8e-05,8e-05,-999.0,1.4104754659333851,322664000.0,False,0.0,,0.00267,656,6e-06,0.000731,10.8,0.003,False,9.500399999999999,0.002639,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,98.023553,98.4,12.395999999999999,64.376132,64.376132,-0.002149,0.0027660000000000002,True,-999.0,S,12.395999999999999,260.0,04:17:30.272	+19:36:56.57,J041730.27+193656.6,False,,,,False,False,0
1,1,58825.439999999995,0.003406,35458.560000000005,0.000719,96.049715,96.418921,19.584778,19.584778,1283.04,9.9e-05,518.4000000000001,4e-05,1.507498,1.507498,1.8e-05,1.8e-05,0.001327,0.3564,9.9e-05,0.14400000000000002,4e-05,1.507498,1.507498,1.5953687473433846,4.2e-05,4.2e-05,-999.0,2.4970358272359654,322664000.0,False,0.0,,0.07535599999999999,655,0.000145,0.000524,16.3404,0.004539,False,9.8496,0.002736,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,96.357035,96.726241,30.024,64.396035,64.396035,0.00016,0.00035,True,-999.0,C,47.087,260.0,04:17:35.048	+19:35:05.20,J041735.05+193505.2,False,,,,False,False,0
2,2,62207.99999999999,0.0037479999999999996,37467.36,0.001175,92.844887,93.211337,19.583023,19.583023,2695.6800000000003,0.00020800000000000001,1114.56,8.6e-05,3.4366809999999997,3.4366809999999997,3.7e-05,3.7e-05,0.001327,0.7488,0.00020800000000000001,0.3096,8.6e-05,3.4366809999999997,3.4366809999999997,0.931381769201008,8.8e-05,8.8e-05,-999.0,1.553494769865673,322664000.0,False,0.0,,0.07535599999999999,655,0.000145,0.000524,17.279999999999998,0.004799,False,10.4076,0.002891,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,93.560887,93.927337,15.119999999999997,64.404166,64.404166,0.00016,0.00035,True,-999.0,C,26.5,260.0,04:17:37.000	+19:34:58.88,J041737.00+193458.9,False,,,,False,False,0
3,3,53835.84,0.0,30818.88,0.0,0.0,0.0,19.364314,19.364314,8294.400000000001,0.00064,2890.08,0.000223,10.933793,10.933793,9.8e-05,9.8e-05,0.000472,2.3040000000000003,0.00064,0.8028,0.000223,10.933793,10.933793,0.49500004040403883,0.00027,0.00027,-999.0,0.8009596057230352,322664000.0,False,0.0,,0.0036630000000000005,654,-2.1e-05,0.000462,14.9544,0.0041530000000000004,False,8.5608,0.002378,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,83.7099,84.066077,3.8040000000000003,64.423287,64.423287,-2.2e-05,4.7e-05,True,-999.0,S,4.746,260.0,04:17:41.589	+19:21:51.53,J041741.59+192151.5,False,,,,False,False,0
4,4,68999.04000000001,0.004418,41666.4,0.0017850000000000001,79.27078399999999,79.62554300000001,19.44526,19.44526,7724.16,0.000596,3382.56,0.000261,9.992772,9.992772,0.00011599999999999999,0.00011599999999999999,0.0006230000000000001,2.1456,0.000596,0.9396,0.000261,9.992772,9.992772,0.5049158741810362,0.000251,0.000251,-999.0,0.8082689898789882,322664000.0,False,0.0,,0.009433,653,2.8999999999999997e-05,0.000429,19.166400000000003,0.005323,False,11.574,0.003215,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,81.247876,81.602636,4.696,64.431843,64.431843,3.3e-05,0.00011100000000000001,True,-999.0,S,10.152,260.0,04:17:43.642	+19:26:42.94,J041743.64+192642.9,False,,,,False,False,0
5,5,57996.0,0.003322,34214.4,0.0,92.607536,92.962988,19.681873,19.681873,8151.840000000001,0.000629,3149.2800000000007,0.00024300000000000002,11.064627999999999,11.064627999999999,0.00010400000000000001,0.00010400000000000001,0.00047300000000000006,2.2644,0.000629,0.8748000000000001,0.00024300000000000002,11.064627999999999,11.064627999999999,0.46314395440294803,0.000267,0.000267,-999.0,0.7207890138591181,322664000.0,False,0.0,,0.005,651,8.4e-05,0.00041500000000000006,16.11,0.0044740000000000005,False,9.504,0.00264,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,93.450956,93.80640799999999,3.7270000000000003,64.442102,64.442102,8.4e-05,5.6999999999999996e-05,True,-999.0,S,5.561,260.0,04:17:46.104	+19:40:54.74,J041746.10+194054.7,False,,,,False,False,0
6,6,69050.88,0.004490999999999999,61145.28,0.0038090000000000003,141.363485,141.719009,19.906146,19.906146,13659.839999999998,0.0010539999999999998,11417.76,0.0008810000000000001,69.696043,69.696043,0.00040899999999999997,0.00040899999999999997,0.000535,3.7943999999999996,0.0010539999999999998,3.1716,0.0008810000000000001,69.696043,69.696043,0.48565140790488814,0.00041600000000000003,0.00041600000000000003,-999.0,0.714659403142504,322664000.0,False,0.0,,0.005167000000000001,650,8.2e-05,0.00044699999999999997,19.1808,0.005328,False,16.9848,0.004718,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,131.678957,132.03448,2.446,64.45332900000001,64.45332900000001,8.3e-05,8.4e-05,True,-999.0,S,7.765000000000001,253.0,04:17:48.799	+19:54:22.13,J041748.80+195422.1,False,,,,False,False,0
7,7,61236.00000000001,0.003669,37298.88,0.0010869999999999999,81.914204,82.25995999999999,19.427207,19.427207,2592.0000000000005,0.0002,1088.64,8.4e-05,3.433182,3.433182,3.7e-05,3.7e-05,0.002665,0.7200000000000001,0.0002,0.3024,8.4e-05,3.433182,3.433182,0.8683893136145793,8.499999999999999e-05,8.499999999999999e-05,-999.0,1.431627850560333,322664000.0,False,0.0,,0.117855,648,-2.7000000000000002e-05,0.000482,17.01,0.004725,False,10.3608,0.002878,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,84.135407,84.481163,14.200000000000001,64.457965,64.457965,-1.6e-05,0.000354,True,-999.0,C,24.388999999999996,260.0,04:17:49.912	+19:25:37.95,J041749.91+192537.9,False,,,,False,False,0
8,8,81920.16,0.005576,40227.840000000004,0.001588,81.868769,82.21289499999999,19.4301,19.4301,6804.0,0.000525,2203.2,0.00016999999999999999,5.491126,5.491126,7.6e-05,7.6e-05,0.002665,1.89,0.000525,0.612,0.00016999999999999999,5.491126,5.491126,0.6001681097825841,0.00022200000000000003,0.00022200000000000003,-999.0,1.105443622488275,322664000.0,False,0.0,,0.117855,648,-2.7000000000000002e-05,0.000482,22.7556,0.00632,False,11.1744,0.003104,False,0.0,-999.9,-999.0,0.0,0.0,-999.9,-999.0,N,0.0,82.89968,83.243806,7.151999999999999,64.463014,64.463014,-1.6e-05,0.000354,True,-999.0,C,17.721,260.0,04:17:51.123	+19:25:48.36,J041751.12+192548.4,False,,,,False,False,0
9,9,57970.079999999994,0.0033469999999999997,40201.920000000006,0.001568,77.90339,78.241004,19.117093,19.117093,4017.6000000000004,0.00031,2138.4,0.000165,7.942381,7.942381,7.2e-05,7.2e-05,0.000523,1.116,0.00031,0.594,0.000165,7.942381,7.942381,0.667751827028575,0.000131,0.000131,-999.0,1.0648579823150128,322664000.0,False,0.0,,0.009996,649,-4.1e-05,0.00048600000000000005,16.1028,0.004472,False,11.167200000000001,0.003102,True,19.116694444444445,0.0003985555555559017,0.284523269126471,0.4,64.46645833333332,0.0001776666666728488,-1.2439842139002375,L,2.4,81.549524,81.88713800000001,8.501,64.466636,64.466636,-3.5e-05,0.00021600000000000002,True,-999.0,S,14.897,257.0,04:17:51.993	+19:07:01.53,J041751.99+190701.5,False,,,,False,False,0
